anime_id,name,genre
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen"
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural"
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller"
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen"
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports"
10162,Usagi Drop,"Josei, Slice of Life"
18617,Girls und Panzer der Film,"Military, School"
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural"
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life"
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural"
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power"
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen"
5941,Cross Game,"Comedy, Drama, Romance, School, Sports"
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life"
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi"
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural"
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space"
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports"
10087,Fate/Zero,"Action, Fantasy, Supernatural"
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire"
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller"
10165,Nichijou,"Comedy, School, Slice of Life"
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi"
22789,Barakamon,"Comedy, Slice of Life"
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports"
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen"
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller"
11917,Major: World Series,"Comedy, Drama, Sports"
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen"
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen"
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance"
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller"
7655,Major S6,"Comedy, Drama, Sports"
